trade_zeile,symbol,entry_time,exit_time,pnl_pct,allocation,capital_after
3,UNIUSDT,2021-09-01 20:00:00,2021-09-02 04:00:00,-4.3,1000.0,9957.0
0,ADAUSDT,2021-09-01 20:00:00,2021-09-06 12:00:00,-1.17,1000.0,9945.3
1,BNBUSDT,2021-09-01 20:00:00,2021-09-07 08:00:00,-4.3,1000.0,9902.3
2,TRXUSDT,2021-09-01 20:00:00,2021-09-07 08:00:00,1.95,1000.0,9921.8
4,XRPUSDT,2021-09-01 20:00:00,2021-09-07 12:00:00,-4.3,1000.0,9836.04
10,SOLUSDT,2021-09-02 20:00:00,2021-09-08 04:00:00,18.59,995.7,10021.14
11,AAVEUSDT,2021-09-06 12:00:00,2021-09-07 08:00:00,-4.3,994.53,9879.04
12,LINKUSDT,2021-09-15 08:00:00,2021-09-16 12:00:00,-4.3,1002.11,9978.04
14,ETHUSDT,2021-09-15 12:00:00,2021-09-17 20:00:00,-4.3,1002.11,9848.77
13,BTCUSDT,2021-09-15 12:00:00,2021-09-20 00:00:00,-4.3,1002.11,9805.68
15,DOGEUSDT,2021-09-15 20:00:00,2021-09-16 12:00:00,-4.3,1002.11,9934.95
16,ZECUSDT,2021-09-15 20:00:00,2021-09-16 20:00:00,-4.3,1002.11,9891.86
17,ADAUSDT,2021-09-24 16:00:00,2021-09-26 04:00:00,-4.3,980.57,9721.35
18,SOLUSDT,2021-09-24 20:00:00,2021-09-25 20:00:00,-4.3,980.57,9763.52
19,TRXUSDT,2021-10-01 04:00:00,2021-10-11 16:00:00,6.61,972.14,9751.97
20,DOGEUSDT,2021-10-01 08:00:00,2021-10-10 20:00:00,5.14,972.14,9687.72
21,ZECUSDT,2021-10-01 12:00:00,2021-10-11 20:00:00,5.16,972.14,9802.14
22,NEARUSDT,2021-10-02 04:00:00,2021-10-06 08:00:00,-4.3,972.14,9637.75
23,ADAUSDT,2021-10-02 16:00:00,2021-10-04 00:00:00,-4.3,972.14,9679.55
24,BNBUSDT,2021-10-14 04:00:00,2021-10-15 08:00:00,-4.3,980.21,9759.99
25,UNIUSDT,2021-10-15 12:00:00,2021-10-20 20:00:00,5.43,976.0,9805.86
26,ETHUSDT,2021-10-15 12:00:00,2021-10-20 16:00:00,7.87,976.0,9752.86
