trade_zeile,symbol,entry_time,exit_time,pnl_pct,allocation,capital_after
0,INTC,2016-09-01,2016-09-23,2.95,1000.0,9946.5
1,PNC,2016-09-01,2016-09-23,-0.94,1000.0,9937.1
2,COF,2016-09-01,2016-09-23,-0.02,1000.0,9936.9
3,MA,2016-09-01,2016-09-23,3.84,1000.0,9975.3
4,ADP,2016-09-01,2016-09-23,-2.1,1000.0,9954.3
5,SPGI,2016-09-01,2016-09-23,0.54,1000.0,9959.7
6,ICE,2016-09-01,2016-09-23,-2.9,1000.0,9930.7
7,JCI,2016-09-02,2016-09-19,-8.3,1000.0,9917.0
8,MCO,2016-09-02,2016-09-26,-0.7,1000.0,9923.7
9,EQIX,2016-09-02,2016-09-26,-2.74,1000.0,9896.3
49,MU,2016-09-27,2016-10-11,-8.3,989.63,9732.02
48,REGN,2016-09-27,2016-10-06,-8.3,989.63,9814.16
50,CAT,2016-09-28,2016-10-19,1.33,989.63,9663.04
51,PG,2016-09-28,2016-10-19,-3.94,989.63,9624.05
54,PANW,2016-09-30,2016-10-17,-8.3,989.63,9649.88
52,SCHW,2016-09-30,2016-10-21,1.92,989.63,9643.05
53,DE,2016-09-30,2016-10-21,0.97,989.63,9652.65
55,LRCX,2016-09-30,2016-10-21,2.76,989.63,9679.97
56,NFLX,2016-10-03,2016-10-24,23.77,989.63,9915.2
65,MRK,2016-10-10,2016-10-28,-8.3,981.42,9833.74
66,AAPL,2016-10-11,2016-11-01,-4.44,973.2,9790.53
69,GOOG,2016-10-18,2016-11-08,-0.9,964.99,9701.51
71,BNY,2016-10-20,2016-11-10,9.55,962.41,9793.42
72,APH,2016-10-20,2016-11-10,-0.24,962.41,9791.11
75,MS,2016-10-21,2016-11-11,15.49,968.0,9941.05
76,MSFT,2016-10-21,2016-11-11,-1.37,968.0,9927.79
74,META,2016-10-21,2016-11-03,-8.3,968.0,9710.19
78,BA,2016-10-24,2016-11-14,9.66,991.52,10023.57
79,TMUS,2016-10-24,2016-11-14,3.08,991.52,10054.11
91,CVX,2016-10-31,2016-11-21,5.94,983.37,10112.52
