trade_zeile,symbol,entry_time,exit_time,result,pnl_pct,entry_price,exit_price,kerzen,ausgefuehrt,allocation,capital_after
1,ABBV,2016-09-01,2016-09-06,sma_exit,0.61,42.474876403808594,42.8596076965332,3,True,500.0,10003.05
4,DE,2016-09-01,2016-09-06,sma_exit,0.8,71.4134521484375,72.19981384277344,3,True,500.0,10007.05
3,SLB,2016-09-01,2016-09-07,sma_exit,-0.11,59.566165924072266,59.6800422668457,4,True,500.0,10006.5
2,BX,2016-09-01,2016-09-08,sma_exit,-0.82,17.277231216430664,17.187406539916992,5,True,500.0,10002.4
0,COST,2016-09-01,2016-09-15,sma_exit,-2.57,131.9610137939453,128.9705352783203,10,True,500.0,9968.34
5,MAR,2016-09-02,2016-09-15,sma_exit,-2.65,64.6441879272461,63.12282943725586,9,True,500.0,9955.09
7,AVGO,2016-09-06,2016-09-14,sma_exit,-1.17,13.116199493408203,13.001980781555176,7,True,500.35,9996.55
6,DHR,2016-09-06,2016-09-19,sma_exit,-3.68,66.96917724609375,64.70317077636719,10,True,500.35,9943.97
8,MNST,2016-09-07,2016-09-15,sma_exit,-4.12,25.36166763305664,24.39166641235352,7,True,500.33,9934.48
10,AMD,2016-09-08,2016-09-14,sma_exit,-3.35,6.230000019073486,6.039999961853027,5,True,500.12,9979.79
12,ADI,2016-09-08,2016-09-14,sma_exit,-1.1,51.060279846191406,50.6528549194336,5,True,500.12,9974.29
11,ORCL,2016-09-08,2016-09-15,sma_exit,0.04,35.072593688964844,35.19316864013672,6,True,500.12,9934.68
9,ACN,2016-09-08,2016-09-19,sma_exit,-1.9,94.85989379882812,93.33943939208984,8,True,500.12,9934.47
19,TXN,2016-09-09,2016-09-14,sma_exit,1.38,50.72737503051758,51.57954406738281,4,True,500.12,9981.19
14,PM,2016-09-09,2016-09-15,sma_exit,1.97,59.55415344238281,60.90349960327149,5,True,500.12,9944.53
15,T,2016-09-09,2016-09-15,sma_exit,1.56,14.930294036865234,15.208521842956545,5,True,500.12,9952.33
17,MCO,2016-09-09,2016-09-15,sma_exit,1.65,97.08345794677734,98.97738647460938,5,True,500.12,9960.59
18,CB,2016-09-09,2016-09-15,sma_exit,0.62,104.38025665283205,105.33771514892578,5,True,500.12,9963.69
21,LIN,2016-09-09,2016-09-15,sma_exit,0.38,99.83480072021484,100.51504516601562,5,True,500.12,9965.59
13,DE,2016-09-09,2016-09-16,sma_exit,-0.64,70.2851791381836,70.04584503173828,6,True,500.12,9962.39
16,UPS,2016-09-09,2016-09-19,sma_exit,-0.77,72.90958404541016,72.56409454345703,7,True,500.12,9930.62
20,ETN,2016-09-09,2016-09-19,sma_exit,-0.8,51.57958221435547,51.31993865966797,7,True,500.12,9926.62
22,BRK-B,2016-09-09,2016-09-21,sma_exit,-0.41,146.6199951171875,146.4600067138672,9,True,500.12,9924.57
42,CME,2016-09-23,2016-10-06,sma_exit,-2.46,72.81584930419922,71.2431640625,10,True,496.23,9925.71
43,BAC,2016-09-26,2016-09-28,sma_exit,1.62,12.132416725158691,12.365577697753906,3,True,496.23,9932.61
44,PNC,2016-09-26,2016-09-28,sma_exit,1.57,63.276123046875,64.4584732055664,3,True,496.23,9940.4
46,KKR,2016-09-27,2016-09-30,sma_exit,1.48,11.94517707824707,12.158333778381348,4,True,496.23,9947.74
45,ICE,2016-09-27,2016-10-05,sma_exit,-2.21,48.30878448486328,47.386863708496094,7,True,496.23,9937.92
