trade_zeile,symbol,entry_time,exit_time,result,pnl_pct,entry_price,exit_price,kerzen,ausgefuehrt,allocation,capital_after
0,NEARUSDT,2021-10-12,2021-10-22,time_exit,24.99,7.269,9.107,11,True,1000.0,10249.9
1,BNBUSDT,2021-10-12,2021-10-22,time_exit,7.6,444.2,479.3,11,True,1000.0,10325.9
2,LINKUSDT,2021-10-12,2021-10-22,time_exit,16.01,24.65,28.67,11,True,1000.0,10486.0
3,ZECUSDT,2021-10-12,2021-10-22,time_exit,41.57,116.3,165.0,11,True,1000.0,10901.7
4,ADAUSDT,2021-10-12,2021-10-22,time_exit,1.49,2.118,2.156,11,True,1000.0,10916.6
5,SOLUSDT,2021-10-12,2021-10-22,time_exit,28.57,152.32,196.29,11,True,1000.0,11202.3
6,AAVEUSDT,2021-10-12,2021-10-22,time_exit,8.93,284.0,310.2,11,True,1000.0,11291.6
7,XRPUSDT,2021-10-17,2021-10-27,stop_loss,-7.35,1.0944,1.0172,11,True,1000.0,11218.1
8,DOGEUSDT,2021-10-27,2021-11-06,time_exit,9.75,0.2379,0.2618,11,True,1121.81,11327.48
9,BTCUSDT,2021-10-28,2021-11-07,time_exit,4.15,60575.89,63273.59,11,True,1121.81,11374.03
10,DOGEUSDT,2021-11-10,2021-11-16,stop_loss,-8.25,0.2553,0.235,7,True,1137.4,11245.73
11,AAVEUSDT,2021-11-10,2021-11-16,stop_loss,-5.87,312.6,295.2,7,True,1137.4,11178.97
12,UNIUSDT,2021-11-12,2021-11-15,stop_loss,-3.03,24.56,23.89,4,True,1137.4,11339.57
13,BTCUSDT,2021-11-16,2021-11-17,stop_loss,-2.77,60058.87,58574.07,2,True,1117.9,11148.0
14,SOLUSDT,2021-11-16,2021-11-17,stop_loss,-2.69,219.04,213.81,2,True,1117.9,11117.93
15,ETHUSDT,2021-11-17,2021-11-18,stop_loss,-5.53,4287.8,4063.48,2,True,1111.79,11056.45
