trade_zeile,symbol,entry_time,exit_time,result,pnl_pct,entry_price,exit_price,kerzen,ausgefuehrt
0,NEARUSDT,2021-10-12,2021-10-22,time_exit,24.99,7.269,9.107,11,True
1,BNBUSDT,2021-10-12,2021-10-22,time_exit,7.6,444.2,479.3,11,True
2,LINKUSDT,2021-10-12,2021-10-22,time_exit,16.01,24.65,28.67,11,True
3,ZECUSDT,2021-10-12,2021-10-22,time_exit,41.57,116.3,165.0,11,True
4,ADAUSDT,2021-10-12,2021-10-22,time_exit,1.49,2.118,2.156,11,True
5,SOLUSDT,2021-10-12,2021-10-22,time_exit,28.57,152.32,196.29,11,True
6,AAVEUSDT,2021-10-12,2021-10-22,time_exit,8.93,284.0,310.2,11,True
7,XRPUSDT,2021-10-17,2021-10-27,stop_loss,-7.35,1.0944,1.0172,11,True
8,DOGEUSDT,2021-10-27,2021-11-06,time_exit,9.75,0.2379,0.2618,11,True
9,BTCUSDT,2021-10-28,2021-11-07,time_exit,4.15,60575.89,63273.59,11,True
10,DOGEUSDT,2021-11-10,2021-11-16,stop_loss,-8.25,0.2553,0.235,7,True
11,AAVEUSDT,2021-11-10,2021-11-16,stop_loss,-5.87,312.6,295.2,7,True
12,UNIUSDT,2021-11-12,2021-11-15,stop_loss,-3.03,24.56,23.89,4,True
13,BTCUSDT,2021-11-16,2021-11-17,stop_loss,-2.77,60058.87,58574.07,2,True
14,SOLUSDT,2021-11-16,2021-11-17,stop_loss,-2.69,219.04,213.81,2,True
15,ETHUSDT,2021-11-17,2021-11-18,stop_loss,-5.53,4287.8,4063.48,2,True
16,ZECUSDT,2021-11-17,2021-11-18,stop_loss,-4.25,159.3,153.0,2,True
17,BNBUSDT,2021-11-17,2021-11-18,stop_loss,-4.5,578.0,553.7,2,True
18,ADAUSDT,2021-11-18,2021-11-24,stop_loss,-5.06,1.786,1.701,7,True
19,BTCUSDT,2021-11-19,2021-11-23,stop_loss,-4.52,58052.24,55600.0,5,True
20,TRXUSDT,2021-11-19,2021-11-24,stop_loss,-6.08,0.10387,0.09787,6,True
21,DOGEUSDT,2021-11-23,2021-11-24,stop_loss,-6.21,0.2266,0.2132,2,True
22,XRPUSDT,2021-11-24,2021-11-26,stop_loss,-2.8,1.0326,1.0068,3,True
23,SOLUSDT,2021-11-26,2021-11-28,stop_loss,-5.35,192.42,182.7,3,True
24,ETHUSDT,2021-11-26,2021-12-04,stop_loss,-3.47,4041.2,3913.0,9,True
25,ADAUSDT,2021-11-28,2021-12-04,stop_loss,-11.47,1.594,1.416,7,True
26,NEARUSDT,2021-11-28,2021-12-04,stop_loss,-10.61,8.396,7.53,7,True
27,AAVEUSDT,2021-11-28,2021-12-03,stop_loss,-8.81,238.6,218.3,6,True
28,UNIUSDT,2021-11-28,2021-12-04,stop_loss,-8.5,20.12,18.47,7,True
29,XRPUSDT,2021-11-28,2021-12-04,stop_loss,-9.2,0.9687,0.8825,7,True
30,TRXUSDT,2021-11-28,2021-12-04,stop_loss,-6.4,0.09518,0.08937,7,True
31,BTCUSDT,2021-11-28,2021-12-03,stop_loss,-7.32,57274.88,53256.64,6,True
32,LINKUSDT,2021-11-28,2021-12-03,stop_loss,-8.9,24.76,22.63,6,False
33,SOLUSDT,2021-12-04,2021-12-10,stop_loss,-16.08,200.67,169.0,7,True
34,BNBUSDT,2021-12-04,2021-12-14,time_exit,-7.42,568.6,528.1,11,True
35,SOLUSDT,2021-12-11,2021-12-13,stop_loss,-6.59,172.15,161.33,3,True
36,AAVEUSDT,2021-12-13,2021-12-23,time_exit,51.83,162.3,246.9,11,True
37,ETHUSDT,2021-12-15,2021-12-25,time_exit,1.58,4019.08,4094.83,11,True
38,BNBUSDT,2021-12-15,2021-12-25,time_exit,0.86,541.1,547.4,11,True
39,ZECUSDT,2021-12-15,2021-12-25,time_exit,5.97,159.5,169.5,11,True
40,BTCUSDT,2021-12-17,2021-12-27,time_exit,9.61,46131.2,50701.44,11,True
41,ADAUSDT,2021-12-17,2021-12-27,time_exit,24.17,1.218,1.516,11,True
42,UNIUSDT,2021-12-17,2021-12-27,time_exit,27.42,14.97,19.12,11,True
43,ZECUSDT,2021-12-28,2021-12-29,stop_loss,-1.17,149.7,148.4,2,True
44,SOLUSDT,2021-12-30,2021-12-31,stop_loss,-2.82,172.52,168.17,2,True
45,XRPUSDT,2021-12-30,2022-01-04,stop_loss,-4.66,0.8386,0.802,6,True
46,ETHUSDT,2021-12-30,2022-01-05,stop_loss,-3.65,3709.27,3585.0,7,True
47,BNBUSDT,2021-12-31,2022-01-04,stop_loss,-1.36,511.4,506.0,5,True
48,BTCUSDT,2021-12-31,2022-01-04,stop_loss,-1.47,46216.93,45678.0,5,True
49,SOLUSDT,2022-01-03,2022-01-04,stop_loss,-2.39,170.15,166.59,2,True
50,UNIUSDT,2022-01-05,2022-01-06,stop_loss,-4.98,17.11,16.31,2,True
51,BTCUSDT,2022-01-06,2022-01-07,stop_loss,-1.81,43082.31,42430.58,2,True
52,ADAUSDT,2022-01-06,2022-01-08,stop_loss,-7.64,1.28,1.186,3,True
53,AAVEUSDT,2022-01-06,2022-01-07,stop_loss,-3.33,221.0,214.3,2,True
54,ETHUSDT,2022-01-08,2022-01-10,stop_loss,-2.93,3080.95,3000.0,3,True
