time,symbol,pnl_pct,allocation,capital_after
2016-09-19,JCI,-8.3,1000.0,9917.0
2016-09-23,INTC,2.95,1000.0,9946.5
2016-09-23,PNC,-0.94,1000.0,9937.1
2016-09-23,COF,-0.02,1000.0,9936.9
2016-09-23,MA,3.84,1000.0,9975.3
2016-09-23,ADP,-2.1,1000.0,9954.3
2016-09-23,SPGI,0.54,1000.0,9959.7
2016-09-23,ICE,-2.9,1000.0,9930.7
2016-09-26,MCO,-0.7,1000.0,9923.7
2016-09-26,EQIX,-2.74,1000.0,9896.3
2016-10-06,REGN,-8.3,989.63,9814.16
2016-10-11,MU,-8.3,989.63,9732.02
2016-10-17,PANW,-8.3,989.63,9649.88
2016-10-19,CAT,1.33,989.63,9663.04
2016-10-19,PG,-3.94,989.63,9624.05
2016-10-21,SCHW,1.92,989.63,9643.05
2016-10-21,DE,0.97,989.63,9652.65
2016-10-21,LRCX,2.76,989.63,9679.97
2016-10-24,NFLX,23.77,989.63,9915.2
2016-10-28,MRK,-8.3,981.42,9833.74
2016-11-01,AAPL,-4.44,973.2,9790.53
2016-11-03,META,-8.3,968.0,9710.19
2016-11-08,GOOG,-0.9,964.99,9701.51
2016-11-10,BNY,9.55,962.41,9793.42
2016-11-10,APH,-0.24,962.41,9791.11
2016-11-11,MS,15.49,968.0,9941.05
2016-11-11,MSFT,-1.37,968.0,9927.79
2016-11-14,BA,9.66,991.52,10023.57
2016-11-14,TMUS,3.08,991.52,10054.11
2016-11-21,CVX,5.94,983.37,10112.52
2016-11-22,JCI,9.37,979.05,10204.26
2016-11-30,BKNG,-5.02,970.15,10155.55
2016-12-02,TJX,1.97,979.11,10174.84
2016-12-02,STX,7.16,979.11,10244.95
2016-12-06,MCD,1.67,1005.41,10261.74
2016-12-06,ANET,6.57,1005.41,10327.79
2016-12-06,ADI,7.14,1005.41,10399.58
2016-12-07,MU,12.63,1005.41,10526.56
2016-12-07,LRCX,5.07,1005.41,10577.54
2016-12-13,COP,13.25,1011.25,10711.53
2016-12-14,INTC,2.72,1020.43,10739.28
2016-12-29,MMM,1.04,1057.75,10750.28
2016-12-29,TT,-3.42,1057.75,10714.11
2016-12-29,WDC,-0.63,1057.75,10707.45
